TF	inferred_activity	p_val	p_val_adj	inferred_DA
DLX3	-2.14637184143066	0.0318588127763442	0.25624833819634	FALSE
NFE2L2	-2.1304714679718	0.0331484217170386	0.258890282642941	FALSE
ELK1	2.12588739395142	0.0335284136537579	0.258890282642941	FALSE
SMAD7	-2.10209727287292	0.0355608616590266	0.271151570150078	FALSE
SIX1	-2.09649419784546	0.0360545565595154	0.271521969151906	FALSE
NKX6-1	-2.07000613212585	0.0384683092406831	0.279353198057341	FALSE
NEUROG3	2.07338356971741	0.0381530908674916	0.279353198057341	FALSE
JUN	2.0751633644104	0.0379878670656638	0.279353198057341	FALSE
CREB1	2.03095245361328	0.0422768650292018	0.287881950775554	FALSE
ZIC1	2.05249333381653	0.040138511826832	0.287881950775554	FALSE
HIC1	-2.03963398933411	0.0414037301204815	0.287881950775554	FALSE
