"","uniprot_gn_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name","lead_protein_name"
"5229","Q9H974",0.0411469296070539,12.7738224428448,0.214154014495395,0.83309197824635,0.903866125986669,-6.35937079921214,"QTRT2","QTRT2"
"5230","Q9H977",0.211117420301075,12.9918650770302,1.2223973550743,0.235599019522336,0.392032992087874,-5.65640202075471,"WDR54","WDR54"
"5231","Q9H993",-0.269654957565322,14.3573061778599,-1.01057592271682,0.32475763577278,0.487293797474951,-5.8728961989663,"ARMT1","ARMT1"
"5232","Q9H9A5",0.210837026555499,12.6173281984219,0.929777236325865,0.366098138938569,0.528827395658931,-5.84411963885762,"CNOT10","CNOT10"
"5233","Q9H9A6",-1.04804302522841,13.7599360388074,-4.83624265127195,9.71150457439509e-05,0.00292413148748173,1.43340858422395,"LRRC40","LRRC40"
"5234","Q9H9B4",-0.275262987735246,17.321820717901,-0.930481937765796,0.363085379808957,0.5260703725232,-5.95894842099242,"SFXN1","SFXN1"
"5235","Q9H9C1",-1.01574318895335,13.5200960343354,-3.86558246506846,0.00102126859822256,0.01066734856221,-0.783131047999372,"VIPAS39","VIPAS39"
"5236","Q9H9E3",-0.729833350278692,12.7726598651649,-3.12151179726632,0.00648221223270393,0.0337118885658686,-2.43935776510354,NA,"COG4"
"5237","Q9H9G7",0.505428746215838,13.7239101404188,2.51103467155993,0.0206241892545873,0.0718887046949429,-3.60188310943081,"AGO3","AGO3"
"5238","Q9H9H5",-0.32439461415589,15.269830947507,-0.722144926920321,0.478464701700644,0.629350257450369,-6.12865334202281,"MAP6D1","MAP6D1"
"5239","Q9H9J2",-0.223227495670507,13.9751664749402,-1.13425376787484,0.269940921854656,0.430598524328545,-5.75539515646438,"MRPL44","MRPL44"
"5240","Q9H9P8",0.212022488778999,14.9340028069138,1.60592841360813,0.123776098721683,0.250463624789973,-5.15478668772446,"L2HGDH","L2HGDH"
"5241","Q9H9Q2",-0.177945807206109,13.7329158766753,-0.830830105631417,0.415761192749605,0.574570465839146,-6.04510145649888,"COPS7B","COPS7B"
"5242","Q9H9Q4",0.302061917666554,13.1246708313065,1.31234847201514,0.204840348552983,0.355699781030888,-5.53902389071702,"NHEJ1","NHEJ1"
"5243","Q9H9S3",0.225294258433449,13.4799346682483,0.366188878534185,0.720473128936927,0.82427236066408,-5.98302479338515,"SEC61A2","SEC61A2"
"5244","Q9H9S4",0.323078890804721,16.1729124340117,1.11161666822451,0.27933063890626,0.440584155178348,-5.77977329275248,"CAB39L","CAB39L"
"5245","Q9H9T3",-0.738872829524563,13.439814012968,-3.28090701716688,0.00369264404370348,0.0235553421284236,-2.0164525785375,"ELP3","ELP3"
"5246","Q9HA47",-0.14362942206918,13.447506129127,-0.338653555241338,0.740179461653814,0.839273851145019,-6.08114509680588,"UCK1","UCK1"
"5247","Q9HA64",0.617106055703593,15.0872611342398,4.04478181711428,0.000620697832928506,0.00811853511562625,-0.333541291257164,"FN3KRP","FN3KRP"
"5248","Q9HA65",-1.18670504736966,13.5976621153445,-4.94402364184837,7.56110163674474e-05,0.00273739506105923,1.67222667543243,"TBC1D17","TBC1D17"
"5249","Q9HA77",0.300867077464231,14.4757839461671,1.67154967315027,0.110000101886383,0.230842041919755,-5.05825479876601,"CARS2","CARS2"
"5250","Q9HA82",0.460367947948898,12.9209861552204,1.37628273049652,0.187410944524579,0.333665820748848,-5.30190844245694,"CERS4","CERS4"
"5251","Q9HAB8",-0.622366965766764,13.3488868650076,-2.98554223335341,0.00724372358392566,0.0360672217675527,-2.64380866564313,"PPCS","PPCS"
"5252","Q9HAC8",0.186139093878769,12.7630733391339,1.13352117343155,0.27091963683314,0.431382064407319,-5.74596896568035,"UBTD1","UBTD1"
"5253","Q9HAD4",-0.827256995778944,12.5604448140084,-2.17799213967717,0.0496415462845985,0.132477267422147,-4.28211498918217,"WDR41","WDR41"
"5254","Q9HAF1",0.449737179475624,12.7571545585007,1.2844029061857,0.219497406281091,0.372469394300035,-5.33896548121487,"MEAF6","MEAF6"
"5255","Q9HAN9",1.36915781167128,13.2613444249729,6.35504027567154,6.7176614956297e-06,0.000956338425551603,4.04007626243609,"NMNAT1","NMNAT1"
"5256","Q9HAR2",0.331927382482574,14.2819573719142,2.46448198753655,0.022782487795808,0.0774079700533377,-3.69164119006816,NA,"ADGRL3"
"5257","Q9HAT2",0.291323590374493,14.6306559983641,1.91102635732339,0.0702652145642256,0.168325068940148,-4.68221639243369,"SIAE","SIAE"
"5258","Q9HAU5",-0.944359605457279,12.9166018147076,-4.59264985819144,0.000192870784129579,0.00426657727463789,0.802700127698965,"UPF2","UPF2"
"5259","Q9HAV0",0.942262863018787,15.5445062083299,4.63235540340809,0.000156243674150099,0.00373657651616105,0.97978973134316,"GNB4","GNB4"
"5260","Q9HB07",0.637423610506836,14.7333201212414,5.23157483622505,3.89493766755826e-05,0.00203524581889581,2.30507939816358,"MYG1","MYG1"
"5261","Q9HB19",-0.746511519517629,12.7929455369458,-2.58435997774171,0.0197921950157343,0.0697739646712911,-3.52067937139184,"PLEKHA2","PLEKHA2"
"5262","Q9HB21",-0.893598997292264,12.4963481315365,-2.9550188351735,0.0102833065390087,0.0450777075036232,-2.85032335214323,"PLEKHA1","PLEKHA1"
"5263","Q9HB71",0.480761356448653,14.5915415158399,2.32027448370305,0.0308779189701572,0.0951005008749233,-3.96395491562855,"CACYBP","CACYBP"
"5264","Q9HB90",0.0867180144258111,13.9955991886264,0.370775935236531,0.714655844891718,0.818978409483682,-6.32138052999717,"RRAGC","RRAGC"
"5265","Q9HBH1",0.365971383091768,16.2218953365625,1.74050209365426,0.096950493792206,0.212285308880401,-4.95371638308491,"PDF","PDF"
"5266","Q9HBH5",-0.230293624352667,12.884714652276,-0.824273152848606,0.41988365543972,0.578074985951017,-6.04004688703134,"RDH14","RDH14"
"5267","Q9HBI6",1.44277265589444,13.8754187957222,5.74014624517841,1.49044808701852e-05,0.00138277925836153,3.24260035391273,"CYP4F11","CYP4F11"
"5268","Q9HBL0",-0.404057762359942,13.4704250981955,-1.49433884711305,0.150511449299552,0.286241801884108,-5.31204919010464,"TNS1","TNS1"
"5269","Q9HBL8",-1.28657737335245,13.1346288494831,-3.39778291202534,0.00336806687531738,0.0221462911101018,-1.88156063635067,"NMRAL1","NMRAL1"
"5270","Q9HBM0",-0.522316676176299,12.726396716027,-2.96279429563924,0.00762496718465476,0.0373943362959237,-2.69128611534797,"VEZT","VEZT"
"5271","Q9HBT6",0.675142886876753,14.0295646026981,2.88783791405361,0.00902262917813255,0.0417996747414757,-2.84675428707817,"CDH20","CDH20"
"5272","Q9HBU6",0.215962158535007,13.1837383980567,1.48465534511028,0.153040074842038,0.289621210990402,-5.32527475997568,"ETNK1","ETNK1"
"5273","Q9HBW1",0.518013985294157,12.902482130275,1.53429579297762,0.141233657039322,0.273803214930067,-5.24781741696987,"LRRC4","LRRC4"
"5274","Q9HBY8",-0.917023348899859,12.9710513366744,-2.14991530634109,0.0492044519984061,0.131367403309538,-4.2897958480118,"SGK2","SGK2"
"5275","Q9HBZ2",0.554231670006768,11.7453616486882,3.08480012153461,0.0101359286617124,0.0447483550467901,-2.76621890334222,"ARNT2","ARNT2"
"5276","Q9HC10",-0.370105758429126,14.0708335697817,-0.902408624983153,0.377996410326321,0.539348022474369,-5.97372646490189,"OTOF","OTOF"
"5277","Q9HC16",0.226315208799035,14.1974839856145,0.1827872770897,0.857956543290732,0.915838435602019,-5.48402359228269,"APOBEC3G","APOBEC3G"
"5278","Q9HC21",0.137378645883654,13.7846807974001,0.711451511282996,0.485802321685363,0.635365675625341,-6.12484984622623,"SLC25A19","SLC25A19"
"5279","Q9HC35",0.362639556027309,12.6168748795107,2.41215517866548,0.0254593340338949,0.0831725290115745,-3.79147923550724,"EML4","EML4"
"5280","Q9HC36",0.11750798599595,13.8604303360626,0.427160343707339,0.673771307404733,0.788612902128668,-6.2986086732092,"MRM3","MRM3"
"5281","Q9HC38",0.709475469501548,17.0265581818286,4.33169777903794,0.000316165725560177,0.00556343893215834,0.308029229252607,"GLOD4","GLOD4"
"5282","Q9HC56",0.362009672143394,13.7197086814764,2.02721596531716,0.0560115447013842,0.143718105998498,-4.48731500667116,"PCDH9","PCDH9"
"5283","Q9HC78",-0.293337422585534,13.7340041972663,-0.917560047252406,0.370820293353362,0.532667183912506,-5.95727489735128,"ZBTB20","ZBTB20"
"5284","Q9HCB6",0.788548509057513,14.536228389339,4.75465111761602,0.000117435875317003,0.00322768240325299,1.25214050590811,"SPON1","SPON1"
"5285","Q9HCC0",0.247003304785814,14.8212508117344,1.25034209835102,0.225434604436892,0.379212655303854,-5.62368729413389,"MCCC2","MCCC2"
"5286","Q9HCC8",1.29693255651219,12.6507832312119,2.82141769694637,0.0194959061142502,0.0691624527329129,-3.0423850358795,"GDPD2","GDPD2"
"5287","Q9HCD5",0.222439902809599,13.0204296426987,1.47062961115289,0.157553355204845,0.295454278576691,-5.33505829152057,"NCOA5","NCOA5"
"5288","Q9HCD6",0.788375214483464,12.7810220511458,1.63521875597083,0.122478666153915,0.249102446202205,-5.0782388648019,"TANC2","TANC2"
"5289","Q9HCE0",0.634072883073152,13.1391727536117,2.71346755407598,0.0136792950584672,0.0543835388909793,-3.21018713980994,"EPG5","EPG5"
"5290","Q9HCE5",-0.0296587368676011,13.6422776675321,-0.158155061431311,0.876171882817054,0.927535231955021,-6.36188578870601,"METTL14","METTL14"
"5291","Q9HCE6",-1.12429362805188,12.9658814775175,-3.9132166974341,0.000996936247447585,0.0105753692732081,-0.743221366660726,"ARHGEF10L","ARHGEF10L"
"5292","Q9HCE7",0.0307350088739611,16.8250948340893,0.0621604257082555,0.951044700445403,0.972395324291651,-6.38931216353902,"SMURF1","SMURF1"
