"logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name"
-0.43633218266509,17.6115782918745,-9.89246514457494,2.69462344528768e-07,2.53545266503115e-05,7.28635742683637,"MYO18A"
-1.00153778044356,14.4227175064162,-9.81760784224993,2.93474863240753e-07,2.69863476516383e-05,7.19949847994618,"PDE1C"
0.634180750677315,16.1616576438,9.72957302935968,3.2467979859481e-07,2.91923214469911e-05,7.09662168104098,"MYO6"
-0.913198243618227,15.9249986283565,-9.64084164323516,3.59751446625825e-07,3.1642485935828e-05,6.99212693050565,"RANBP1"
-0.555688642295728,18.3576540359554,-9.49392527396338,4.2703975326929e-07,3.67617625899478e-05,6.81731277182628,"AARS"
-1.48683793609991,14.5578417826445,-9.36823263908496,4.95321982324486e-07,4.13121119726559e-05,6.66594737006585,"CHID1"
-1.50315372951379,14.6915175728161,-9.35977209419861,5.00319695170573e-07,4.13121119726559e-05,6.65569828954447,"AGPAT4"
-0.729752752621474,15.1278882473741,-9.2964047627521,5.3950979025614e-07,4.36571322275269e-05,6.57869089513798,"SEZ6L"
1.50498032142781,13.3232567287083,9.64357936476887,7.03691300917325e-07,5.4752596221375e-05,6.40924954092281,"TTI2"
-1.0981579999278,14.5604449874674,-9.09475319801543,6.8765462631446e-07,5.45539336876138e-05,6.33073238140808,"RAP1GAP"
-0.666807464349411,14.4634280432103,-8.89430325165258,8.7877642824697e-07,6.70854609186272e-05,6.07979577075836,"APLP2"
-0.390683262418964,18.7262010974295,-8.82872417517778,9.53045010750917e-07,7.07380805886907e-05,5.99671738635473,"ATP6V0A1"
-0.4208376263174,16.7060336564191,-8.82153098819934,9.61590319421154e-07,7.07380805886907e-05,5.98757496814711,"ARF5"
-0.411229996816211,16.7071313548344,-8.75075672556418,1.05016731812282e-06,7.5874588734374e-05,5.8973064185458,"DCTN4"
-0.780306269572851,17.2096784727927,-8.68575560965433,1.13921954720682e-06,7.96963814070491e-05,5.81389355073195,"HSDL1"
-0.368750868852061,18.433618677196,-8.6722535827847,1.15870941789296e-06,7.96963814070491e-05,5.79650572136997,"PGM2L1"
-0.284095791839107,19.4514796516831,-8.66989056687468,1.16215682229755e-06,7.96963814070491e-05,5.79346046833386,"SLC25A4"
-0.544064239404562,18.8606056123229,-8.53493429809583,1.3784210188808e-06,9.29515240398622e-05,5.61845890351101,"AKR1C1"
-1.12914250945974,13.7847285481834,-8.46585770090257,1.50539123831415e-06,9.89297995284103e-05,5.52805649612941,"PDE1B"
0.47002713420301,15.7770723219762,8.46038125014133,1.51597814403397e-06,9.89297995284103e-05,5.52086511813458,"SEPTIN8"
-0.938692948888917,16.2417562757335,-8.43416891831195,1.56776261412682e-06,0.000100685198996145,5.48639509064351,"CPE"
-0.517020773901839,16.1969505248554,-8.36189079833548,1.72057587053154e-06,0.000108772655815165,5.39092200147812,"ATP8A2"
-0.672378638187352,14.2577963553931,-8.31306898383696,1.83273951736774e-06,0.000114080985957998,5.32607765488107,"SYN2"
-0.778506328997125,14.2868400081538,-8.24964742531614,1.99022438979681e-06,0.000122006786077544,5.24141186690912,"DRG2"
-0.772166512572745,15.286425719299,-8.19171097671179,2.14673636479048e-06,0.000129637243760332,5.16364091344253,"SYT11"
-0.340216100495063,16.5941376056453,-8.13596857100708,2.30975672781763e-06,0.000137430525305149,5.08842730071818,"FARP1"
-0.410331592617027,16.6621591071055,-8.10036881354671,2.42073788171782e-06,0.0001419464560787,5.04019222928872,"KIF3A"
0.870743667361271,14.5573289452615,8.08006887257489,2.48655506855254e-06,0.000143722882962337,5.01261719861218,"LSM14A"
1.70970319160082,12.8949333466194,8.29894357638983,3.2659962177714e-06,0.000173871324961882,4.83966375961485,"FMNL1"
-0.43284034902568,15.2654615864791,-7.922520347213,3.06704064043696e-06,0.000173871324961882,4.79686283585811,"RAPH1"
-0.516271111839441,16.4791001476917,-7.90940650232106,3.12148161152084e-06,0.000173871324961882,4.77876393633387,"GLS"
-0.334558036563283,16.7908063755381,-7.88889397257871,3.20871182155334e-06,0.000173871324961882,4.75041035506895,"EPM2AIP1"
-0.403931295085897,16.7291120728153,-7.8858906116715,3.22170006132835e-06,0.000173871324961882,4.74625448139883,"NECAP1"
